FNR;Benennung deutsch;Benennung englisch
38.70;Steuergeraet ESP Parameterdaten;Control module ESP parameters
38.74;Steuergeraet eKAT-Heizung Hardware;Control module catalyst electrical heater hardware
38.75;Steuergeraet eKAT-Heizung Software;Control module catalyst electrical heater software
38.76;Steuergeraet eKAT-Heizung Parameterdaten;Control module catalyst electrical heater parameters
38.78;Steuergeraet SAM Hardware;Control unit SAM (BC-F) hardware
38.79;Steuergeraet SAM Software;Control unit SAM (BC-F) software
38.80;Steuergeraet elektronisches Zuendschloss Hardware;Control unit electronic ignition switch hardware
38.81;Steuergeraet elektronisches Zuendschloss Software;Control unit electronic ignition switch software
38.82;Steuergeraet Airbag Hardware;Control unit airbag (ORC) hardware
38.83;Steuergeraet Airbag Software;Control unit airbag (ORC) software
38.84;Steuergeraet Airbag Parameterdaten;Control unit airbag (ORC) parameters
38.86;Steuergeraet Mantelrohrschaltermodul Hardware;Control unit steering column (SCCM) hardware
38.87;Steuergeraet Mantelrohrschaltermodul Software;Control unit steering column (SCCM) software
38.88;Steuergeraet Fahrprogramm Hardware;Control unit driving mode (Drive Unit) hardware
38.89;Steuergeraet Fahrprogramm Software;Control unit driving mode (Drive Unit) software
38.90;Batteriesensor;Battery sensor (IBS)
38.91;Batteriesensor Software;Battery sensor (IBS) software
38.92;Batteriesensor Parameterdaten;Battery sensor (IBS) parameters
38.93;Steuergeraet Fahrprogramm Parameterdaten;Control unit driving mode (Drive Unit) parameters
39.00;Hybrid;Hybrid
39.01;Steuergeraet Elektromotor Hardware;Control module electric motor hardware
39.02;Steuergeraet Rekuperatives Bremssystem;Recuperative Braking Controller (RBC)
39.04;Steuergeraet Batterie Management (BMS) Hardware;Control module battery management (BMS) hardware
39.05;Elektromotor;Electric motor (EM)
39.07;Hochvolt Batterie;High Voltage Battery (HVB)
39.08;Bremspedalmodul;Brake-pedal modul
39.09;Motorhaubensensor;Engine hood sensor
39.10;Steuergeraet Elektromotor Software;Control module electric motor software
39.11;Steuergeraet Elektromotor Parameterdaten;Control module electric motor parameters
39.12;Steuergeraet Batterie Management (BMS) Software;Control module battery management (BMS) software
39.15;Steuergeraet DC/DC-Wandler Hardware;Control module DC/DC converter hardware
39.16;Steuergeraet DC/DC-Wandler Software;Control module DC/DC converter software
39.18;Steuergeraet Batterie Ladegeraet (OBL) Hardware;Control module battery charger (OBL) hardware
39.19;Steuergeraet Batterie Ladegeraet (OBL) Software ;Control module battery charger (OBL) software
39.20;Starterbatterie 48V;Starter battery 48V
39.21;Steuergeraet Multimediaanlage Hardware;Control module multimedia system hardware
39.22;Steuergeraet Energiemanagement Software;Control module energy management software
39.25;Steuergeraet Klimaanlage Hardware;Control module AC-System hardware
39.26;Steuergeraet Klimaanlage Software;Control module AC-System software
39.27;Steuergeraet Batteriezellenueberwachung Hardware;Control module battery cell monitoring hardware
39.28;Steuergeraet Batteriezellenueberwachung Software;Control module battery cell monitoring software
39.29;Drucksensor Bremspedal;Pressure sensor brake pedal
39.30;Steuergeraet Batterie Ladegeraet (OBL) Parameterdaten ;Control module battery charger (OBL)software
39.31;Steuergeraet Batterie Management (BMS) Parameterdaten;Control module battery management (BMS) parameters
39.32;Steuergeraet DC/DC-Wandler Parameterdaten;Control module DC/DC converter parameters
39.33;Ladedose;Charging socket
39.34;Kontakttraeger (HV Batterie);Control Unit Board (HV battery)
39.35;Positionssensor (Elektromotor);Resolver (electric motor)
39.36;Steuergeraet Bremsgeraet Hardware;Control module brake unit hardware
39.37;Steuergeraet Bremsgeraet Software ;Control module brake unit software
39.38;Steuergeraet Getriebe E-Antrieb (GSM) Hardware;Control module electric drive transmission (GSM) hardware
39.39;Steuergeraet Getriebe E-Antrieb (GSM) Software;Control module electric drive transmission (GSM) software
39.40;Steuergeraet Turbolader (ETC)  Hardware;Control module turbo charger (ETC) hardware
39.41;Steuergeraet Turbolader (ETC) Software;Control module turbo charger (ETC) software
39.42;Steuergeraet Startergenerator (RSG-HV) Hardware;Control module belt-driven starter generator (RSG-HV) hardware
39.43;Steuergeraet Startergenerator (RSG-HV) Software;Control module starter belt-driven generator (RSG-HV) software
39.44;Steuergeraet Startergenerator (RSG-HV) Parameterdaten;Control module belt-driven starter generator (RSG-HV) parameters
39.45;Steuergeraet Startergenerator (RSG) Hardware;Control module belt-driven starter generator (RSG) hardware
39.46;Steuergeraet Startergenerator (RSG) Software;Control module belt-driven starter generator (RSG) software
39.47;Steuergeraet Startergenerator (RSG) Parameterdaten;Control module belt-driven starter generator (RSG) parameters
39.48;Steuergeraet Batterie Gateway (BCU) Hardware;Control module battery gateway (BCU) hardware
39.49;Steuergeraet Batterie Gateway (BCU) Software;Control module battery gateway (BCU) software
39.50;Steuergeraet Strombegrenzer Hybrid (ITM) Hardware;Control module Current Limiter Hybrid (ITM) hardware
40.00;Nebenaggregate;Secondary components
40.01;Wasserpumpe;Water pump
40.02;Wasserpumpe, Niedertemperaturkreis 1;Duty cycle water pump 1
40.03;Bypass-Pumpe Niedertemperatur;Bypass water pump, low temperature
40.04;Wasserpumpe, Niedertemperaturkreis 2;Duty cycle water pump 2
41.01;Startergenerator (ISG);Starter generator (ISG)
41.02;Startergenerator (RSG);Belt-driven starter generator (RSG)
41.03;Starter Start-Stopp;Starter Start-Stop
41.04;Startergenerator (RSG-HV);Belt-driven starter generator (RSG-HV)


